점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정연도,운영여부,데이터기준일자
CU 선정송이점,서울특별시,은평구,11380,"서울특별시 은평구 서오릉로20길 20-1, 선정쉐르빌",서울특별시 은평구 갈현동 327-135,37.61715587,126.9095737,02-351-6235,은평경찰서,2014,Y,2025-03-18
CU 응암에이스점,서울특별시,은평구,11380,서울특별시 은평구 가좌로7다길 7,서울특별시 은평구 응암동 732-9,37.58529423,126.9184862,02-351-6235,은평경찰서,2014,Y,2025-03-18
GS25 뉴구산가온,서울특별시,은평구,11380,"서울특별시 은평구 서오릉로17길 18, 1층",서울특별시 은평구 구산동 363-17,37.61358055,126.9081794,02-351-6235,은평경찰서,2014,Y,2025-03-18
GS25 녹번점,서울특별시,은평구,11380,서울특별시 은평구 통일로 685,서울특별시 은평구 녹번동 117-61,37.60734825,126.9324542,02-351-6235,은평경찰서,2014,Y,2025-03-18
GS25 불광래미안점,서울특별시,은평구,11380,서울특별시 은평구 진흥로 267-16,서울특별시 은평구 불광동 638-1,37.61161588,126.9377235,02-351-6235,은평경찰서,2014,Y,2025-03-18
GS25 불광역점,서울특별시,은평구,11380,서울특별시 은평구 통일로 750,서울특별시 은평구 불광동 267-1,37.61230099,126.9286073,02-351-6235,은평경찰서,2014,Y,2025-03-18
GS25 연신내제일점,서울특별시,은평구,11380,"서울특별시 은평구 연서로26길 11, 유성빌딩 1층",서울특별시 은평구 대조동 196-25,37.61685167,126.9208162,02-351-6235,은평경찰서,2014,Y,2025-03-18
GS25 은평보람점,서울특별시,은평구,11380,"서울특별시 은평구 연서로21길 24-1, 1층",서울특별시 은평구 갈현동 486-22,37.61531867,126.9152013,02-351-6235,은평경찰서,2014,Y,2025-03-18
GS25 은평영화점,서울특별시,은평구,11380,"서울특별시 은평구 연서로27길 14, 영화빌딩",서울특별시 은평구 갈현동 454-27,37.61815699,126.9180054,02-351-6235,은평경찰서,2014,Y,2025-03-18
GS25 응암역점,서울특별시,은평구,11380,"서울특별시 은평구 연서로 1, 리더스파크",서울특별시 은평구 역촌동 85-41,37.59925615,126.915362,02-351-6235,은평경찰서,2014,Y,2025-03-18
GS25 불광타운점,서울특별시,은평구,11380,"서울특별시 은평구 연서로 289, 1층",서울특별시 은평구 불광동 422-4,37.62164674,126.9261705,02-351-6235,은평경찰서,2014,Y,2025-03-18
GS25 은평불광점,서울특별시,은평구,11380,"서울특별시 은평구 연서로 274, 1층",서울특별시 은평구 불광동 353-59,37.62058815,126.9250096,02-351-6235,은평경찰서,2014,Y,2025-03-18
GS25 신사드림점,서울특별시,은평구,11380,"서울특별시 은평구 갈현로4길 26, 웅자하우스 1층",서울특별시 은평구 신사동 1-50,37.60116576,126.9130331,02-351-6235,은평경찰서,2014,Y,2025-03-18
세븐일레븐 은평세느강점,서울특별시,은평구,11380,서울특별시 은평구 진관3로 15-35,서울특별시 은평구 진관동 28,37.64256139,126.9174116,02-351-6235,은평경찰서,2014,Y,2025-03-18
GS25 갈현파크점,서울특별시,은평구,11380,"서울특별시 은평구 갈현로25길 14, 갈현파크빌",서울특별시 은평구 갈현동 515-18,37.61750316,126.9136232,02-351-6235,은평경찰서,2014,Y,2025-03-18
GS25 불광힐스테이트점,서울특별시,은평구,11380,"서울특별시 은평구 통일로 796, 북한산힐스테이트7차 상가",서울특별시 은평구 불광동 643,37.6163432,126.9257576,02-351-6235,은평경찰서,2014,Y,2025-03-18
미니스톱 연신내동명점,서울특별시,은평구,11380,"서울특별시 은평구 연서로28길 20-1, 1층",서울특별시 은평구 대조동 196-8,37.61705831,126.9217999,02-351-6235,은평경찰서,2014,Y,2025-03-18
세븐일레븐 연신내점,서울특별시,은평구,11380,서울특별시 은평구 통일로 822,서울특별시 은평구 불광동 302-16,37.61731852,126.9232223,02-351-6235,은평경찰서,2014,Y,2025-03-18
세븐일레븐 응암중앙점,서울특별시,은평구,11380,서울특별시 은평구 가좌로7길 6,서울특별시 은평구 응암동 745-16,37.5870614,126.9201397,02-351-6235,은평경찰서,2014,Y,2025-03-18
세븐일레븐 연신내행복점,서울특별시,은평구,11380,서울특별시 은평구 통일로80길 9,서울특별시 은평구 불광동 312-129,37.62005135,126.9216732,02-351-6235,은평경찰서,2014,Y,2025-03-18
세븐일레븐 응암제일점,서울특별시,은평구,11380,서울특별시 은평구 가좌로10길 29,서울특별시 은평구 응암동 579-7,37.59356205,126.9168435,02-351-6235,은평경찰서,2014,Y,2025-03-18
GS25 녹번역점,서울특별시,은평구,11380,서울특별시 은평구 통일로 639,서울특별시 은평구 녹번동 35-96,37.6038567,126.9346391,02-351-6235,은평경찰서,2023,Y,2025-03-18
GS25 녹번중앙점,서울특별시,은평구,11380,서울특별시 은평구 녹번로9길 19,서울특별시 은평구 녹번동 120-17,37.60764935,126.9295387,02-351-6235,은평경찰서,2023,Y,2025-03-18
GS25 녹번퍼스트짐,서울특별시,은평구,11380,서울특별시 은평구 은평로 215,서울특별시 은평구 녹번동 218,37.6014039,126.9316806,02-351-6235,은평경찰서,2023,Y,2025-03-18
GS25 갈현포인트점,서울특별시,은평구,11380,서울특별시 은평구 갈현로 303,서울특별시 은평구 갈현동 422-35,37.6238985,126.9168678,02-351-6235,은평경찰서,2023,Y,2025-03-18
GS25 갈현중앙점,서울특별시,은평구,11380,서울특별시 은평구 통일로89길 5,서울특별시 은평구 갈현동 413-1,37.6245104,126.9190389,02-351-6235,은평경찰서,2023,Y,2025-03-18
GS25 은평한남점,서울특별시,은평구,11380,서울특별시 은평구 갈현로 155-3,서울특별시 은평구 구산동 14-2,37.6117135,126.9107156,02-351-6235,은평경찰서,2023,Y,2025-03-18
GS25 증산공원점,서울특별시,은평구,11380,서울특별시 은평구 증산로5길 11,서울특별시 은평구 증산동 175-10,37.582818,126.9068961,02-351-6235,은평경찰서,2023,Y,2025-03-18
CU 은평녹번점,서울특별시,은평구,11380,서울특별시 은평구 은평로21길 8,서울특별시 은평구 녹번동 43-8,37.601676,126.933389,02-351-6235,은평경찰서,2023,Y,2025-03-18
CU 녹번제일점,서울특별시,은평구,11380,서울특별시 은평구 진흥로 148,서울특별시 은평구 녹번동 141-1,37.60844389,126.9263669,02-351-6235,은평경찰서,2023,Y,2025-03-18
CU 불광햇빛점,서울특별시,은평구,11380,서울특별시 은평구 통일로 708-5,서울특별시 은평구 불광동 285-21,37.6095103,126.9315164,02-351-6235,은평경찰서,2023,Y,2025-03-18
CU 구산다온점,서울특별시,은평구,11380,서울특별시 은평구 연서로9길 6,서울특별시 은평구 구산동 21-55,37.6075806,126.914542,02-351-6235,은평경찰서,2023,Y,2025-03-18
CU 은평등기소점,서울특별시,은평구,11380,서울특별시 은평구 백련산로 175,서울특별시 은평구 응암동 97-1,37.6004741,126.9266822,02-351-6235,은평경찰서,2023,Y,2025-03-18
세븐일레븐 은평불광점,서울특별시,은평구,11380,서울특별시 은평구 연서로34길 12,서울특별시 은평구 불광동 211-3,37.6212188,126.9275695,02-351-6235,은평경찰서,2023,Y,2025-03-18
세븐일레븐 은평산새마을점,서울특별시,은평구,11380,서울특별시 은평구 가좌로 335,서울특별시 은평구 신사동 228-35,37.5966108,126.9081307,02-351-6235,은평경찰서,2023,Y,2025-03-18
세븐일레븐 응암푸르지오점,서울특별시,은평구,11380,서울특별시 은평구 백련산로 143-1,서울특별시 은평구 응암동 194-24,37.5981246,126.9250129,02-351-6235,은평경찰서,2023,Y,2025-03-18
세븐일레븐 응암3호점,서울특별시,은평구,11380,서울특별시 은평구 백련산로 85,서울특별시 은평구 응암동 236-33,37.5932358,126.922922,02-351-6235,은평경찰서,2023,Y,2025-03-18
세븐일레븐 은평밝은점,서울특별시,은평구,11380,서울특별시 은평구 응암로 254,서울특별시 은평구 응암동 427-113,37.5945224,126.918646,02-351-6235,은평경찰서,2023,Y,2025-03-18
